feature,importance
recency_score,0.37065036198162904
days_since_last_session,0.14993652315645212
tenure_days,0.1312325008804074
frequency_last_90d,0.07736694033508941
monetary_avg_order,0.0432924077240574
avg_items_per_order,0.04075856414095905
days_between_orders,0.037240520862546464
frequency_score,0.03194331460931317
monetary_score,0.029130276309019116
age,0.021653518768773156
frequency_last_30d,0.018456851685441592
coupon_usage_rate,0.01794252410035708
cart_additions_last_30d,0.016699715595485474
num_interests,0.009365295844512518
gender_bin,0.004330684005957135
